ClustSize PeakZ X Y Z
413 5.0654 33.0 87.0 -6.0
287 4.3925 -42.0 57.0 -18.0
175 4.9605 6.0 -12.0 51.0
105 4.9438 48.0 -6.0 36.0
44 3.8046 -33.0 60.0 45.0
39 4.0637 51.0 48.0 0.0
38 3.9016 -45.0 0.0 51.0
37 4.5484 -9.0 66.0 -18.0
31 4.083 24.0 51.0 45.0
30 3.917 33.0 -21.0 9.0
22 3.9008 3.0 72.0 -24.0
